"","province_2018","lower_dist","district_2013","district_2018","pop_2010","pop_2011","pop_2012","pop_2013","pop_2014","pop_2015","pop_2016","pop_2017","pop_2018","pop_2019","cbr_province","province_deaths","vacc_province","mcv1_2018","mcv1_2017","mcv1_2016","mcv1_2015","mcv1_2014","mcv1_2013","mcv1_cov_2018","mcv1_cov_2017","mcv1_cov_2016","mcv1_cov_2015","mcv1_cov_2014","mcv1_cov_2013","growth_rate","pop_2020","pop_2021","pop_2022","pop_2023","pop_2024","pop_2025","pop_2026","pop_2020.1","pop_2021.1","pop_2022.1","pop_2023.1","pop_2024.1","pop_2025.1","pop_2026.1","PCES2020","ZAMPHIA","sero_PCES2016","district_map","meanseroprev.pop.2016","lowerseroprev.pop.2016","upperseroprev.pop.2016","sia2016"
"81","Western","nalolo","Senanga","Nalolo",13248.718,18926.74,27038.2,38626,39532,27145,55394,61415,62298,63195,38.7,13.8,"Western Province",1905,1785,1484,1577,1536,1998,0.99,0.99,0.99,0.99,0.99,0.99,1.01439853606857,64104.9154868535,65027.9324246638,65964.2394551451,66914.0279361761,67877.4919809086,68854.8284974401,69846.2372290559,64104.9154868535,65027.9324246638,65964.2394551451,66914.0279361761,67877.4919809086,68854.8284974401,69846.2372290559,65.87838,83.4,NA,"nalolo",0.866106512185595,0.851294369611763,0.879751825677642,0.953
"82","Southern","namwala","Namwala","Namwala",105818,105818,108459,111100,113730,116337,118933,121541,124155,126775,40.7,10.1,"Southern Province",5612,5380,4624,5013,4851,4464,0.56,0.54,0.46,0.5,0.48,0.45,1.02110265394064,129450.288953324,132182.033603622,134971.425315929,137819.680596246,140728.041622078,143697.776784173,146730.181239688,129450.288953324,132182.033603622,134971.425315929,137819.680596246,140728.041622078,143697.776784173,146730.181239688,64.11765,81,95.5,"namwala",0.803903079852932,0.786517617427749,0.820512680768139,0.968
"83","Luapula","nchelenge","Nchelenge","Nchelenge",157226,157226,162618,168100,173680,179352,185146,191092,197189,203432,44.6,15.4,"Luapula Province",3237,3858,2682,2859,2585,7395,0.99,0.99,0.91,0.97,0.88,0.99,1.03165998103342,209872.653261592,216517.217483288,223372.148482219,230444.106466561,237739.962506557,245266.805210402,253031.947611492,209872.653261592,216517.217483288,223372.148482219,230444.106466561,237739.962506557,245266.805210402,253031.947611492,77.04485,78.2,NA,"nchelenge",0.807198510633551,0.791698082282596,0.822112614842443,0.87
"84","Copperbelt","ndola","Ndola","Ndola",489009,498977,509154,519538,530129,540923,551910,551910,563082,574437,36.6,11.8,"Copperbelt Province",17672,16306,16252,17222,16300,15978,0.85,0.79,0.78,0.83,0.78,0.77,1.02016580178375,586020.982679255,597838.565657086,609894.45967081,622193.470453542,634740.500649854,647540.55177008,660598.726184019,586020.982679255,597838.565657086,609894.45967081,622193.470453542,634740.500649854,647540.55177008,660598.726184019,78.92235,82.7,NA,"ndola",0.840163896726082,0.823269882441193,0.85567271599045,0.989
"85","Central","ngabwe","Kapiri Mposhi","Ngabwe",6606.18,9437.4,13482,19260,19812,20372,20944,58221,59841,61495,41.2,11.9,"Central Province",1056,815,1025,949,1224,1070,0.99,0.99,0.99,0.99,0.99,0.99,1.02763991243462,63194.7164151669,64941.4128432126,66736.3878075794,68580.9757227837,70476.5478864421,72424.5134987176,74426.320709942,63194.7164151669,64941.4128432126,66736.3878075794,68580.9757227837,70476.5478864421,72424.5134987176,74426.320709942,54.80984,84.7,NA,"ngabwe",0.88574942746335,0.874419065199988,0.896218121905192,0.929
"86","Western","nkeyema","Kaoma","Nkeyema",9242.821,13204.03,18862.9,26947,46378,45283,44761,45333,46005,46690,38.7,13.8,"Western Province",1629,1265,1277,1550,1463,1447,0.99,0.99,0.99,0.99,0.99,0.99,1.01488968590371,47385.199434844,48090.7501709134,48806.8063358319,49533.5243521354,50271.0629714423,51019.5833091325,51779.2488795435,47385.199434844,48090.7501709134,48806.8063358319,49533.5243521354,50271.0629714423,51019.5833091325,51779.2488795435,65.87838,83.4,NA,"nkeyema",0.870984651490704,0.855695419160481,0.884739491659844,0.953
"87","Northern","nsama","Kaputa","Nsama",4895.639,6993.77,9991.1,14273,14724,27701,15641,58752,60576,62445,44,12.2,"Northern Province",2167,1795,1620,1820,1554,1495,0.99,0.99,0.99,0.99,0.99,0.99,1.03085380348653,64371.6657587163,66357.7764841363,68405.1662795809,70515.7258374345,72691.4041851326,74934.2104850206,77246.2158897436,64371.6657587163,66357.7764841363,68405.1662795809,70515.7258374345,72691.4041851326,74934.2104850206,77246.2158897436,62.7907,87,NA,"nsama",0.87493938084372,0.863574092530646,0.885449201754779,0.964
"88","Eastern","nyimba","Nyimba","Nyimba",86530,86530,88305,90085,91872,93659,95464,97296,99159,101046,43.5,14.4,"Eastern Province",4625,4584,4386,4373,4366,4317,0.99,0.99,0.99,0.99,0.99,0.99,1.01903004265876,102968.909690497,104928.412434433,106925.204599177,108959.995803996,111033.509172244,113146.481588344,115299.663959658,102968.909690497,104928.412434433,106925.204599177,108959.995803996,111033.509172244,113146.481588344,115299.663959658,79.53411,80.5,NA,"nyimba",0.830000511010754,0.814895870695185,0.844451170183394,0.971
"89","Southern","pemba","Choma","Pemba",22972.768,32818.24,46883.2,66976,70802,72082,73186,44481,45311,46138,40.7,10.1,"Southern Province",3663,3586,3188,3227,2986,2687,0.99,0.99,0.99,0.99,0.99,1,1.01825163867494,46980.0941051842,47837.5578077065,48710.671627904,49599.72120607,50504.9973959007,51426.7963596492,52365.419665015,46980.0941051842,47837.5578077065,48710.671627904,49599.72120607,50504.9973959007,51426.7963596492,52365.419665015,64.11765,81,95.5,"pemba",0.809327653400026,0.79134624721807,0.825635008197169,0.968
"90","Eastern","petauke","Petauke","Petauke",315073,315073,324060,333193,342466,351876,361467,371311,381395,391708,43.5,14.4,"Eastern Province",9226,9102,8604,8320,8226,8390,0.99,0.99,0.99,0.99,0.99,0.99,1.02704020765873,402299.865661584,413178.137570152,424350.560210094,435825.087478272,447609.888346567,459713.352677558,472144.097197449,402299.865661584,413178.137570152,424350.560210094,435825.087478272,447609.888346567,459713.352677558,472144.097197449,79.53411,80.5,NA,"petauke",0.8292718466171,0.811423431604434,0.846544209064598,0.971
"91","Lusaka","rufunsa","Chongwe","Rufunsa",20176.632,28823.76,41176.8,58824,60507,63089,63921,52133,53508,54886,38.2,10.7,"Lusaka Province",2986,3336,2847,2976,2624,2010,0.99,0.99,0.99,0.99,0.99,0.85,1.02575315840622,56299.4878522838,57749.3774811327,59236.6063472648,60762.1360539728,62326.9529688711,63932.0688616554,65578.5215582869,56299.4878522838,57749.3774811327,59236.6063472648,60762.1360539728,62326.9529688711,63932.0688616554,65578.5215582869,62.9902,82.9,NA,"rufunsa",0.862738387028941,0.850685467727147,0.873686939686355,0.961
"92","Luapula","samfya","Samfya","Samfya",202892,202892,207281,211649,215999,220327,22466,101050,103000,104964,44.6,15.4,"Luapula Province",3867,3639,3675,3127,4637,5058,0.99,0.99,0.99,0.99,0.99,0.99,1.01906796116505,106965.449475728,109005.062512333,111083.566811112,113201.703949142,115360.229643861,117559.914022701,119801.541897853,106965.449475728,109005.062512333,111083.566811112,113201.703949142,115360.229643861,117559.914022701,119801.541897853,77.04485,78.2,NA,"samfya",0.767302704692311,0.748137087750864,0.784049472473332,0.87
"93","Western","senanga","Senanga","Senanga",129616,129616,131632,133632,135615,137582,139555,80139,81290,82462,38.7,13.8,"Western Province",3474,3120,3120,3045,2559,3222,0.99,0.99,0.99,0.99,0.99,0.99,1.01441751752983,83650.897330545,84856.9356091942,86080.3619658676,87321.4270934847,88580.385299335,89857.4945571874,91153.0165601523,83650.897330545,84856.9356091942,86080.3619658676,87321.4270934847,88580.385299335,89857.4945571874,91153.0165601523,65.87838,83.4,NA,"senanga",0.866106512185595,0.851294369611763,0.879751825677642,0.953
"94","Central","serenje","Serenje","Serenje",172569,172569,176934,181359,185848,190392,195007,107841,110424,113050,41.2,11.9,"Central Province",5166,5821,4664,5624,4492,5295,0.57,0.64,0.51,0.62,0.49,0.58,1.02378106208795,115738.449069043,118490.832312317,121308.670152389,124193.51916909,127146.972959372,130170.663017614,133266.259636865,115738.449069043,118490.832312317,121308.670152389,124193.51916909,127146.972959372,130170.663017614,133266.259636865,54.80984,84.7,NA,"serenje",0.883388848065788,0.8717535090329,0.894698271161833,0.929
"95","Western","sesheke","Sesheke","Sesheke",102506,102506,105070,107656,110268,112903,115583,52100,53337,54607,38.7,13.8,"Western Province",3246,3302,3204,3413,3222,1509,0.99,0.99,0.99,0.99,0.99,0.59,1.02381086300317,55907.239796014,57238.4394236822,58601.3360633147,59996.6844481209,61425.2572821594,62887.8456682393,64385.2595460102,55907.239796014,57238.4394236822,58601.3360633147,59996.6844481209,61425.2572821594,62887.8456682393,64385.2595460102,65.87838,83.4,NA,"sesheke",0.870187049924049,0.856480389605742,0.882988663680079,0.953
"96","Western","shang'ombo","Shangombo","Shang'ombo",96539,96539,99402,102313,105271,108278,111350,44428,45689,46987,38.7,13.8,"Western Province",1291,1592,1430,1401,1313,1103,0.81,1,0.9,0.88,0.83,0.7,1.02840946398477,48321.8754842522,49694.6740654985,51106.473118597,52558.3806260482,54051.5360475415,55587.1112142055,57166.3112482627,48321.8754842522,49694.6740654985,51106.473118597,52558.3806260482,54051.5360475415,55587.1112142055,57166.3112482627,65.87838,83.4,NA,"shang'ombo",0.820249756248079,0.802767059860212,0.836385126737453,0.953
"97","Central","shibuyunji","Mumbwa","Shibuyunji",25200.553,36000.79,51429.7,73471,73678,76934,65909,68348,70857,73443,41.2,11.9,"Central Province",3385,3333,2782,2990,2968,2681,0.99,0.99,0.95,0.99,0.99,0.91,1.03649604132266,76123.3787628604,78901.5807398106,81781.1760909142,84765.8652729443,87859.483794697,91066.0071458562,94389.5559057414,76123.3787628604,78901.5807398106,81781.1760909142,84765.8652729443,87859.483794697,91066.0071458562,94389.5559057414,54.80984,84.7,NA,"shibuyunji",0.864119953037804,0.851799324952581,0.874862077581295,0.929
