"","province_2018","lower_dist","district_2013","district_2018","pop_2010","pop_2011","pop_2012","pop_2013","pop_2014","pop_2015","pop_2016","pop_2017","pop_2018","pop_2019","cbr_province","province_deaths","vacc_province","mcv1_2018","mcv1_2017","mcv1_2016","mcv1_2015","mcv1_2014","mcv1_2013","mcv1_cov_2018","mcv1_cov_2017","mcv1_cov_2016","mcv1_cov_2015","mcv1_cov_2014","mcv1_cov_2013","growth_rate","pop_2020","pop_2021","pop_2022","pop_2023","pop_2024","pop_2025","pop_2026","pop_2020.1","pop_2021.1","pop_2022.1","pop_2023.1","pop_2024.1","pop_2025.1","pop_2026.1","PCES2020","ZAMPHIA","sero_PCES2016","district_map","meanseroprev.pop.2016","lowerseroprev.pop.2016","upperseroprev.pop.2016","sia2016"
"11","Copperbelt","chingola","Chingola","Chingola",235519,235519,241407,247446,253637,259981,266478,273125,279920,286864,36.6,11.8,"Copperbelt Province",8348,8280,8188,8765,8811,8700,0.84,0.84,0.83,0.89,0.89,0.88,1.02480708773935,293980.260417262,301273.054531071,308746.761628327,316405.869633282,324254.977802521,332298.799486791,340542.164961342,293980.260417262,301273.054531071,308746.761628327,316405.869633282,324254.977802521,332298.799486791,340542.164961342,78.92235,82.7,NA,"chingola",0.856346952819749,0.842424456653755,0.869212327303682,0.989
"12","Muchinga","chinsali","Chinsali","Chinsali",152279,152279,156597,160754,164737,168527,172217,108652,110912,113153,45.8,13,"Muchinga Province",4778,4512,3460,4130,4218,4217,0.99,0.99,0.99,0.99,0.99,0.99,1.02020520773226,115439.279870528,117771.754500774,120151.357265455,122579.040398316,125055.775373184,127582.553292718,130160.385285009,115439.279870528,117771.754500774,120151.357265455,122579.040398316,125055.775373184,127582.553292718,130160.385285009,70.10676,86.1,NA,"chinsali",0.861022247749361,0.849425703264145,0.872273085587283,0.989
"13","Eastern","chipata","Chipata","Chipata",464720,464720,475511,486390,497343,508361,519511,276260,282286,288408,43.5,14.4,"Eastern Province",9357,10661,9366,9029,8498,8991,0.99,0.99,0.99,0.99,0.99,0.99,1.02168722501293,294662.769191529,301053.186969919,307582.195176595,314252.799453361,321068.070626049,328031.146118184,335145.231395298,294662.769191529,301053.186969919,307582.195176595,314252.799453361,321068.070626049,328031.146118184,335145.231395298,79.53411,80.5,NA,"chipata",0.789189228268625,0.767875993099083,0.808043891228188,0.971
"14","Luapula","chipili","Mwense","Chipili",25540.466,36486.38,52123.4,74462,86024,52120,74973,35081,35500,35916,44.6,15.4,"Luapula Province",3620,3707,5761,3385,4509,1790,0.99,0.99,0.99,0.99,0.99,0.6,1.01171830985915,36336.8748169014,36762.6815753192,37193.4780692722,37629.3227700276,38070.274834037,38516.3941109654,38967.741151815,36336.8748169014,36762.6815753192,37193.4780692722,37629.3227700276,38070.274834037,38516.3941109654,38967.741151815,77.04485,78.2,NA,"chipili",0.820222591585644,0.802043960568098,0.837097912234492,0.87
"15","Lusaka","chirundu","Siavonga","Chirundu",12921.496,18459.28,26370.4,37672,39785,41896,44011,57432,59906,62459,38.2,10.7,"Lusaka Province",2145,2135,1786,1806,1708,1524,0.99,0.99,0.99,0.99,0.99,0.99,1.04261676626715,65120.80060428,67896.0385427625,70789.5481478049,73806.3697753772,76951.7585851214,80231.1936945899,83650.3877236068,65120.80060428,67896.0385427625,70789.5481478049,73806.3697753772,76951.7585851214,80231.1936945899,83650.3877236068,62.9902,82.9,NA,"chirundu",0.87076208372863,0.857422225091671,0.883211690859676,0.961
"16","Central","chisamba","Chibombo","Chisamba",33365.325,47664.75,68092.5,97275,99514,104353,106890,80228,82156,84115,41.2,11.9,"Central Province",4327,4342,4060,3605,3666,3531,0.99,0.99,0.99,0.93,0.94,0.91,1.0238448804713,86120.7121208433,88174.2502074679,90276.7546643113,92429.3930886186,94633.3609188514,96889.8820985586,99200.2097560769,86120.7121208433,88174.2502074679,90276.7546643113,92429.3930886186,94633.3609188514,96889.8820985586,99200.2097560769,54.80984,84.7,NA,"chisamba",0.845906695800654,0.830571278272643,0.859926389531924,0.929
"17","Central","chitambo","Serenje","Chitambo",34667.353,49524.79,70749.7,101071,108928,111380,113832,91867,94067,96304,41.2,11.9,"Central Province",3030,3477,3704,3147,2720,3023,0.75,0.86,0.92,0.78,0.67,0.75,1.02378092210871,98594.1979227572,100938.858863929,103339.278004314,105796.781325305,108312.726341354,110888.50284986,113525.533698884,98594.1979227572,100938.858863929,103339.278004314,105796.781325305,108312.726341354,110888.50284986,113525.533698884,54.80984,84.7,NA,"chitambo",0.883388848065788,0.8717535090329,0.894698271161833,0.929
"18","Southern","choma","Choma","Choma",254484,254484,260128,265736,271280,276733,28212,243032,247571,252086,40.7,10.1,"Southern Province",9915,10853,10215,9656,9760,8405,0.99,0.99,0.99,0.99,0.99,0.99,1.01823719256294,256683.340924422,261364.52444056,266131.079601904,270984.563347587,275926.561010942,280958.686837329,286082.584511412,256683.340924422,261364.52444056,266131.079601904,270984.563347587,275926.561010942,280958.686837329,286082.584511412,64.11765,81,95.5,"choma",0.809327653400026,0.79134624721807,0.825635008197169,0.968
"19","Lusaka","chongwe","Chongwe","Chongwe",205649,205649,211714,217869,224101,230397,236749,191006,196046,201095,38.2,10.7,"Lusaka Province",7503,7738,6968,7298,6432,5462,0.99,0.99,0.99,0.99,0.99,0.89,1.02575415973802,206274.032752517,211586.447141831,217035.678299922,222625.249827708,228358.776073488,234239.964470063,240272.617932053,206274.032752517,211586.447141831,217035.678299922,222625.249827708,228358.776073488,234239.964470063,240272.617932053,62.9902,82.9,NA,"chongwe",0.862738387028941,0.850685467727147,0.873686939686355,0.961
"20","Southern","gwembe","Gwembe","Gwembe",39648.399,56640.57,80915.1,115593,121022,126605,132367,72973,76234,79607,40.7,10.1,"Southern Province",2503,2180,2126,1926,2131,1870,0.54,0.47,0.46,0.42,0.46,0.4,1.0442453498439,83129.2395650235,86807.3218518355,90648.1421761821,94658.900939467,98847.117127373,103220.642405735,107787.675840089,83129.2395650235,86807.3218518355,90648.1421761821,94658.900939467,98847.117127373,103220.642405735,107787.675840089,64.11765,81,95.5,"gwembe",0.863193658004559,0.84859188323399,0.876751604386872,0.968
